targy_nev,kredit,felelos,nyelv,link
A közéleti kommunikáció eszköztára,5,Dr. Veszelszki Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKH6M?semester=2019/20/2
A közgazdaság-tudomány alapjai,6,Dr. Németh Petra,magyar,https://www.uni-corvinus.hu/tantargyak/4OG33NAK02B?semester=2019/20/2
A közgazdasági matematika analitikus módszerei,6,Dr. Szabó Imre,angol,https://www.uni-corvinus.hu/tantargyak/PHGI_KOZGMAT?semester=2019/20/2
A közgazdaságtan kulturális formái,6,Dr. Sárvári Balázs,magyar,https://www.uni-corvinus.hu/tantargyak/4MI25NAV43B?semester=2025/26/1
A közgazdaságtan kulturális formái,6,Dr. Sárvári Balázs,magyar,https://www.uni-corvinus.hu/tantargyak/4MI25NAV59M?semester=2025/26/1
A közgazdaságtan módszertani alapjai,12,Csengődi Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03NBK59M?semester=2020/21/2
A közigazgatás alapjai,3,Dr. Gallai Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NCK94B?semester=2023/24/2
A közoktatási intézmények fenntartói,3,Dr. Köpeczi Bócz Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKA8S?semester=2020/21/2
A közpolitika folyamata és intézményei,6,Hajnal György,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03NBK81M?semester=2022/23/2
A közpolitika folyamata és intézményei,6,Kovács Éva Margit,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03LBK87M?semester=2019/20/2
A közszektor intézményei,6,Hajnal György,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03NBK55M?semester=2025/26/1
A közszektor intézményi közgazdaságtana,6,Dr. Rosta Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03NBK65M?semester=2025/26/1
A közvetlen emberi kommunikáció elméletei,3,Dr. Aczél Petra Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAK05M?semester=2019/20/2
A kutatásmódszertan alapjai,6,Dr. Hegedűs Rita,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NCKJ8B?semester=2019/20/2
A kutatásmódszertan alapjai,6,Dr. Hegedűs Rita,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NCVJ8M?semester=2019/20/2
A kvantitatív módszertan alapjai,3,Dr. Bartus Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NCKN2B?semester=2021/22/1
A kvantitatív módszertan alapjai,6,Dr. Bartus Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NDVR2B?semester=2021/22/1
A leadership alapjai,4,Dr. Dunavölgyi Mária,magyar,https://www.uni-corvinus.hu/tantargyak/2VE81NAV10B?semester=2019/20/2
A luxembourgi bíróság esetjoga,3,Dr. Kaponyi Erzsébet,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NDK92M?semester=2020/21/1
A magyar külpolitika elmélete,3,Dr. Szalai Máté,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NCVJ2B?semester=2021/22/2
A magyar politikai rendszer,3,Dr. Dúró József,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NDV71B?semester=2022/23/2
"A magyar politikai rendszer intézményei, szereplői, működése",6,Dr. Várnagy Réka,magyar,https://www.uni-corvinus.hu/tantargyak/TARS134NMBB?semester=2025/26/1
A magyar tőke- és pénzpiac legnagyobb visszaélései,6,Dr. Metzinger Péter,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM081NMBB?semester=2024/25/2
A márkaépítés alapjai,magyar,Dr. Markos-Kujbus Éva,magyar,https://www.uni-corvinus.hu/tantargyak/KM/SPOMdb/ZTZ/17 ?semester=2025/26/1
A marketingkommunikáció pszichológiai alapjai,4,Dr. Habil Kemény Ildikó,magyar,https://www.uni-corvinus.hu/tantargyak/2ME43NDK07B?semester=2024/25/2
A marketingkutatás többváltozós kvantitatív technikái,5,Dr. Komár Zita,magyar,https://www.uni-corvinus.hu/tantargyak/2MF44NCK03M?semester=2025/26/1
A meggyőző kommunikáció és előadás technikái,3,dr. Berde Éva,magyar,https://www.uni-corvinus.hu/tantargyak/MAMM012NMMB?semester=2021/22/1
A meló gazdaság (gig economy) mikroökonómiája,6,Dr. Fodor Szabina Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/KOZNXV4MI20?semester=2019/20/2
A mesterséges intelligencia alapjai,5,Dr. Fodor Szabina Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/INSA002NMBB?semester=2025/26/1
A mesterséges intelligencia alapjai,6,Dr. Melegh Attila,magyar,https://www.uni-corvinus.hu/tantargyak/INSA011NMBB?semester=2024/25/2
A mindennapi élet története 1500-2000-ig,3,Molnár Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NDV48B?semester=2022/23/2
A monetáris politika elmélete és gyakorlata,6,Dr. Lehmann Kristóf,magyar,https://www.uni-corvinus.hu/tantargyak/4MNBNAK03M?semester=2019/20/2
A monetáris politika elmélete és gyakorlata,6,Rácz Olivér Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/MN00007NMMB?semester=2025/26/1
A mozgóképkészítés technikája I.,6,Kovács Lajos,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCK94B?semester=2019/20/2
A munka világának közgazdaságtana: egészség és biztonság,6,Prof. Dr. Gulácsi László,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03NBK18M?semester=2025/26/1
A munkaerő kiválasztás módszerei,6,Juhászné Dr. Klér Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/KSPV016NMBB?semester=2024/25/2
A munkaerő kiválasztás módszerei,6,Juhászné Dr. Klér Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/KSPV021NMBS?semester=2023/24/2
A munkaerő-kiválasztás pszichológiai módszerei,3,Dr. Bodnár Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKA1B?semester=2022/23/1
A munkaerőpiac és a munkaszervezet empirikus elemzése,4,Bódis Lajos,magyar,https://www.uni-corvinus.hu/tantargyak/4EE21NAK07B?semester=2021/22/2
A munkaerőpiac és a munkaszervezet közgazdaságtana,5,Hermann Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4EE21NAK01B?semester=2025/26/1
A munkaerőpiac és munkaszervezet közgazdaságtana,3,Hermann Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4EE21NAV01B?semester=2023/24/2
A munkaerőpiac és munkaszervezet közgazdaságtana,5,Lőrincz László,magyar,https://www.uni-corvinus.hu/tantargyak/GKGM011NBBB?semester=2021/22/1
A munkaerőpiac gazdaságtana,6,Hermann Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4EE21NAK31B?semester=2025/26/1
A munkaszervezet gazdaságtana,6,Bódis Lajos,magyar,https://www.uni-corvinus.hu/tantargyak/4EE21NAK32B?semester=2021/22/2
A nemzetközi kapcsolatok alapjai,12,Mendly Dorottya,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NDCV8M?semester=2019/20/2
A nemzetközi migráció globalizálódása,3,dr. Lehoczki Bernadett Judit,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NFV65M?semester=2020/21/1
A nemzetközi válságok a hidegháború után,6,dr. Kemenszky Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NBKH2M?semester=2019/20/2
A nevelési folyamat tartalma és jellemzői,3,Csillik Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LPK76M?semester=2019/20/2
A növekedés határai,3,Dr. Kocsis Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60NAV09M?semester=2023/24/2
"A pedagógiai folyamat tervezése, implementálása",2,Vigvári Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/OMMK027LMMB?semester=2024/25/1
"A pedagógus pályaszocializáció folyamata, a pályaidentitás fejlesztése",3,Dr. Bodnár Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKE2S?semester=2019/20/2
A pedagógus személyiségének fejlesztése,3,Dr. Pfister Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LPK02M?semester=2019/20/2
A pedagógus személyiségének fejlesztése,2,Dr. Sass Judit Gabriella,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LPKA6M?semester=2021/22/2
A pedagógus személyiségének fejlesztése,4,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/OMMK029LMMB?semester=2024/25/2
A pedagógus tevékenységének értékelése (portfólió),3,Dr. Pfister Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKE3S?semester=2019/20/2
A pénz filozófiája,5,Dr. Kiss Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NDKD3M?semester=2019/20/2
A pénz filozófiája,3,Dr. Kiss Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NAL02M?semester=2021/22/1
A pénzügyek gazdasági joga,4,Dr. Czoboly Gergely István,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NAK07B?semester=2025/26/1
A piacgazdaság intézményei és kultúrája,3,Prof.Dr. Nagy Beáta,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NGV63M?semester=2019/20/2
A piaci és kormányzati kudarcok gazdaságpolitikája,magyar,Dr. Balázs Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4OG33NAK08B?semester=2025/26/1
A politikai gondolkodás története 2.,3,Dr. Balázs Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NCK02B?semester=2023/24/2
A politikai közösség,5,Dr. Balázs Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NAK72M?semester=2020/21/1
A politikai közösség,3,Dr. Balázs Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NAK93M?semester=2019/20/2
A politikatudomány alapjai,6,Dr. Dúró József,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NBK03B?semester=2024/25/1
A politológia szociálpszichológiai alapjai,5,Dr. Sass Judit Gabriella,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKG9M?semester=2019/20/2
A poszt-szovjet térség fegyveres konfliktusai 1991-2024,3,Dr. Rácz András,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB109NMBB?semester=2024/25/2
A posztszocialista átalakulás összehasonlító politikája,6,Dr. Gedeon Péter,angol,https://www.uni-corvinus.hu/tantargyak/PHP_POSTSOC_TRANSITION?semester=2019/20/2
A pszichés fejlődés zavarai,4,Dr. Bodnár Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAK07S?semester=2021/22/2
A pszichológia alapjai,3,Dr. Sass Judit Gabriella,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCK53B?semester=2019/20/2
A pszichológia alapjai,6,Dr. Kovács Gábor István,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCKA4B?semester=2019/20/2
A regionális gazdaságtan alapjai,3,dr. Forman Balázs,magyar,https://www.uni-corvinus.hu/tantargyak/2GF26NBV02B?semester=2020/21/2
A sikeres HR BP: értékajánlat és kompetenciák,4,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM041LMSB?semester=2024/25/2
A sport fenntartható jövője,3,Dr. Kocsis Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60NAV09SM?semester=2020/21/2
A stratégiai tervezés alapjai,5,Dr. Daruka Magdolna,magyar,https://www.uni-corvinus.hu/tantargyak/7TD50LAKF4S?semester=2020/21/1
A szabadidő sport üzleti kérdései,3,Szabó Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60NAK12SM?semester=2025/26/1
A szabályozás közgazdaságtana,6,Dr. Szakadát László,magyar,https://www.uni-corvinus.hu/tantargyak/KG00053NMMB?semester=2021/22/2
A szakképzettséghez kapcsolódó legújabb diszciplináris és módszertani ismeretek (közgazdasági vagy agrár területen),6,Dr. Daruka Magdolna,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKC5S?semester=2020/21/1
"A szakmai programtervezés, tanítási és tanulási folyamat tervezése",2,Vigvári Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/OMMK026LMMB?semester=2024/25/1
A számvitel és könyvvizsgálat számítógépes támogatása,5,Dr. Polyák Imre,magyar,https://www.uni-corvinus.hu/tantargyak/2PU51NAK05M?semester=2019/20/2
A számvitel speciális kérdései,6,Dr. Lukács János,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM030NMMB?semester=2023/24/2
A szegénység gazdaságtana,3,Dr. Sugár András,magyar,https://www.uni-corvinus.hu/tantargyak/4ST14NAV31M?semester=2019/20/2
